Bottom Cand 86: x=1524, y=1154, w=56, h=45, area=1858.5
Bottom Cand 87: x=1458, y=1154, w=55, h=45, area=1849.0
Bottom Cand 88: x=1392, y=1154, w=55, h=45, area=1865.0
Bottom Cand 89: x=1326, y=1154, w=55, h=45, area=1860.5
Bottom Cand 90: x=1259, y=1154, w=55, h=45, area=1849.5
Bottom Cand 91: x=1194, y=1154, w=54, h=45, area=1839.5
Bottom Cand 92: x=1128, y=1154, w=54, h=45, area=1843.0
Bottom Cand 93: x=1062, y=1155, w=54, h=44, area=1833.5
Bottom Cand 94: x=2088, y=1206, w=57, h=45, area=1803.0
Bottom Cand 95: x=2023, y=1206, w=57, h=45, area=1804.0
Bottom Cand 96: x=1957, y=1206, w=57, h=45, area=1801.0
Bottom Cand 97: x=1892, y=1206, w=57, h=45, area=1797.0
Bottom Cand 98: x=1827, y=1206, w=56, h=45, area=1786.0
Bottom Cand 99: x=1762, y=1206, w=56, h=45, area=1789.5
Bottom Cand 100: x=1697, y=1207, w=55, h=44, area=1774.5
Bottom Cand 101: x=1632, y=1207, w=55, h=44, area=1780.5
Bottom Cand 102: x=1567, y=1207, w=55, h=44, area=1789.5
Bottom Cand 103: x=1502, y=1207, w=55, h=44, area=1789.0
Bottom Cand 104: x=1437, y=1207, w=54, h=44, area=1780.5
Bottom Cand 105: x=1371, y=1207, w=55, h=44, area=1794.5
Bottom Cand 106: x=1306, y=1207, w=54, h=44, area=1792.5
Bottom Cand 107: x=1241, y=1207, w=54, h=44, area=1780.0
Bottom Cand 108: x=1176, y=1207, w=54, h=44, area=1776.5
Bottom Cand 109: x=1111, y=1207, w=54, h=45, area=1774.0
Bottom Cand 110: x=1046, y=1207, w=54, h=45, area=1772.5
Bottom Cand 111: x=2058, y=1258, w=56, h=43, area=1726.5
Bottom Cand 112: x=1993, y=1258, w=57, h=43, area=1736.0
Bottom Cand 113: x=1929, y=1258, w=56, h=43, area=1734.5
Bottom Cand 114: x=1865, y=1258, w=55, h=43, area=1727.5
Bottom Cand 115: x=1801, y=1258, w=55, h=43, area=1721.0
Bottom Cand 116: x=1737, y=1258, w=55, h=43, area=1714.5
Bottom Cand 117: x=1673, y=1258, w=54, h=43, area=1711.0
Bottom Cand 118: x=1608, y=1258, w=55, h=43, area=1712.0
Bottom Cand 119: x=1544, y=1258, w=55, h=44, area=1729.0
Bottom Cand 120: x=1480, y=1259, w=54, h=43, area=1718.0
Bottom Cand 121: x=1416, y=1259, w=54, h=43, area=1715.0
Bottom Cand 122: x=1352, y=1259, w=53, h=43, area=1717.0
Bottom Cand 123: x=1287, y=1259, w=54, h=43, area=1723.0
Bottom Cand 124: x=1223, y=1259, w=53, h=43, area=1714.0
Bottom Cand 125: x=1159, y=1259, w=53, h=43, area=1707.0
Bottom Cand 126: x=1095, y=1259, w=53, h=43, area=1702.0
Bottom Cand 127: x=1031, y=1259, w=53, h=43, area=1705.0
Bottom Cand 128: x=1838, y=1308, w=55, h=42, area=1657.0
Bottom Cand 129: x=2092, y=1309, w=56, h=42, area=1659.0
Bottom Cand 130: x=2028, y=1309, w=56, h=41, area=1658.0
Bottom Cand 131: x=1965, y=1309, w=55, h=41, area=1656.0
Bottom Cand 132: x=1901, y=1309, w=55, h=42, area=1665.5
Bottom Cand 133: x=1775, y=1309, w=54, h=41, area=1639.0
Bottom Cand 134: x=1712, y=1309, w=54, h=42, area=1648.5
Bottom Cand 135: x=1649, y=1309, w=53, h=42, area=1639.0
Bottom Cand 136: x=1586, y=1309, w=53, h=42, area=1642.5
Bottom Cand 137: x=1523, y=1309, w=53, h=42, area=1654.0
Bottom Cand 138: x=1396, y=1309, w=53, h=42, area=1645.5
Bottom Cand 139: x=1459, y=1310, w=53, h=41, area=1638.5
Bottom Cand 140: x=1333, y=1310, w=52, h=41, area=1636.5
Bottom Cand 141: x=1269, y=1310, w=53, h=41, area=1653.5
Bottom Cand 142: x=1206, y=1310, w=52, h=41, area=1643.0
Bottom Cand 143: x=1143, y=1310, w=52, h=41, area=1582.5
Bottom Cand 144: x=1080, y=1310, w=51, h=41, area=1624.0
Bottom Cand 145: x=1016, y=1310, w=52, h=41, area=1630.5
Bottom Cand 146: x=2062, y=1358, w=55, h=40, area=1601.5
Bottom Cand 147: x=2000, y=1358, w=54, h=40, area=1592.0
Bottom Cand 148: x=1937, y=1358, w=55, h=40, area=1599.5
Bottom Cand 149: x=1875, y=1358, w=54, h=40, area=1597.0
Bottom Cand 150: x=1812, y=1358, w=54, h=40, area=1586.0
Bottom Cand 151: x=1750, y=1358, w=54, h=40, area=1581.0
Bottom Cand 152: x=1688, y=1358, w=53, h=40, area=1588.5
Bottom Cand 153: x=1626, y=1358, w=53, h=40, area=1576.0
Bottom Cand 154: x=1563, y=1358, w=53, h=40, area=1580.5
Bottom Cand 155: x=1501, y=1358, w=53, h=41, area=1587.5
Bottom Cand 156: x=1439, y=1358, w=52, h=41, area=1589.5
Bottom Cand 157: x=1376, y=1358, w=52, h=41, area=1588.5
Bottom Cand 158: x=1314, y=1358, w=52, h=41, area=1595.5
Bottom Cand 159: x=1251, y=1358, w=52, h=41, area=1596.5
